conversation_id,product,issue_type,issue_description,resolved,customer_sentiment,customer_rating,num_turns,full_conversation
1,Fitness Tracker Band,battery_drain,battery drains too quickly,False,negative,2,7,"customer: Hi, I'm having issues with my Fitness Tracker Band. The battery drains too quickly.
ai_assistant: I'll need some more information to assist you better.
customer: Okay, I'll try that now.
ai_assistant: Please hold on while I find the best solution for you.
customer: This is frustrating. Nothing seems to work.
ai_assistant: Please hold on while I find the best solution for you.
customer: This didn't help. I'm still having the same issue."
2,SmartWatch Pro X1,battery_drain,battery life is poor,True,positive,5,5,"customer: Hi, I'm having issues with my SmartWatch Pro X1. The battery life is poor.
ai_assistant: Thank you for reaching out! I'll guide you through the solution step by step.
customer: This is frustrating. Nothing seems to work.
ai_assistant: Perfect! Try restarting the device and the issue should be resolved.
customer: Great, it's working now. Thanks for your help!"
3,Smart Home Hub,performance,overheating issues,False,negative,2,5,"customer: Hi, I'm having issues with my Smart Home Hub. The overheating issues.
ai_assistant: Let me investigate this further.
customer: This is frustrating. Nothing seems to work.
ai_assistant: I appreciate your patience. This is a common issue with an easy fix.
customer: Not satisfied with the solution provided."
4,Wireless Earbuds Z2,connectivity,pairing issues with phone,True,positive,4,11,"customer: Hi, I'm having issues with my Wireless Earbuds Z2. The pairing issues with phone.
ai_assistant: I understand your concern. Let me help you resolve this right away.
customer: That makes sense, let me check.
ai_assistant: Thank you for reaching out! I'll guide you through the solution step by step.
customer: Yes, I can see some improvement.
ai_assistant: I understand your concern. Let me help you resolve this right away.
customer: I tried that but it didn't work.
ai_assistant: Great question! I have the perfect solution for you.
customer: Yes, I can see some improvement.
ai_assistant: Perfect! Try restarting the device and the issue should be resolved.
customer: Perfect! I appreciate your assistance."
5,SmartWatch Pro X1,performance,overheating issues,False,negative,1,9,"customer: Hi, I'm having issues with my SmartWatch Pro X1. The overheating issues.
ai_assistant: I'll need some more information to assist you better.
customer: This is frustrating. Nothing seems to work.
ai_assistant: Please hold on while I find the best solution for you.
customer: I tried that but it didn't work.
ai_assistant: I'll need some more information to assist you better.
customer: That makes sense, let me check.
ai_assistant: Please hold on while I find the best solution for you.
customer: This didn't help. I'm still having the same issue."
6,Smart Home Hub,software_bug,system error messages,True,positive,4,9,"customer: Hi, I'm having issues with my Smart Home Hub. The system error messages.
ai_assistant: Thank you for reaching out! I'll guide you through the solution step by step.
customer: That makes sense, let me check.
ai_assistant: Thank you for reaching out! I'll guide you through the solution step by step.
customer: Okay, I'll try that now.
ai_assistant: I understand your concern. Let me help you resolve this right away.
customer: This is frustrating. Nothing seems to work.
ai_assistant: Perfect! Try restarting the device and the issue should be resolved.
customer: Great, it's working now. Thanks for your help!"
7,4K Camera Drone,connectivity,bluetooth keeps disconnecting,True,positive,5,9,"customer: Hi, I'm having issues with my 4K Camera Drone. The bluetooth keeps disconnecting.
ai_assistant: Thank you for reaching out! I'll guide you through the solution step by step.
customer: This is frustrating. Nothing seems to work.
ai_assistant: Thank you for reaching out! I'll guide you through the solution step by step.
customer: I tried that but it didn't work.
ai_assistant: I'll need some more information to assist you better.
customer: I tried that but it didn't work.
ai_assistant: Perfect! Try restarting the device and the issue should be resolved.
customer: Perfect! I appreciate your assistance."
8,Laptop UltraBook 15,battery_drain,battery life is poor,False,negative,1,9,"customer: Hi, I'm having issues with my Laptop UltraBook 15. The battery life is poor.
ai_assistant: I'll need some more information to assist you better.
customer: This is frustrating. Nothing seems to work.
ai_assistant: Great question! I have the perfect solution for you.
customer: I'm still experiencing the same problem.
ai_assistant: Great question! I have the perfect solution for you.
customer: Okay, I'll try that now.
ai_assistant: I understand your concern. Let me help you resolve this right away.
customer: I'm disappointed. The problem persists."
9,Fitness Tracker Band,performance,overheating issues,False,negative,1,11,"customer: Hi, I'm having issues with my Fitness Tracker Band. The overheating issues.
ai_assistant: I don't have enough information to help with this.
customer: That makes sense, let me check.
ai_assistant: I'll need some more information to assist you better.
customer: Okay, I'll try that now.
ai_assistant: Great question! I have the perfect solution for you.
customer: I tried that but it didn't work.
ai_assistant: I see the issue. Let me check our troubleshooting guide.
customer: I tried that but it didn't work.
ai_assistant: Let me investigate this further.
customer: This is unacceptable. The issue is not resolved."
10,4K Camera Drone,battery_drain,battery percentage drops fast,True,positive,5,11,"customer: Hi, I'm having issues with my 4K Camera Drone. The battery percentage drops fast.
ai_assistant: I appreciate your patience. This is a common issue with an easy fix.
customer: Yes, I can see some improvement.
ai_assistant: I see the issue. Let me check our troubleshooting guide.
customer: This is frustrating. Nothing seems to work.
ai_assistant: Please hold on while I find the best solution for you.
customer: This is frustrating. Nothing seems to work.
ai_assistant: I understand your concern. Let me help you resolve this right away.
customer: This is frustrating. Nothing seems to work.
ai_assistant: Perfect! Try restarting the device and the issue should be resolved.
customer: Thank you! That worked perfectly!"
